favorite_count,retweet_count,tweet_id
9715,2785,789137962068021249
27424,12458,788908386943430656
27305,10258,788765914992902144
0,7151,788552643979468800
15536,5252,788412144018661376
7225,2096,788178268662984705
6111,1278,788150585577050112
0,3429,788070120937619456
6119,1312,788039637453406209
8609,3043,787810552592695296
10256,2766,787717603741622272
10868,2840,787397959788929025
7759,1736,787322443945877504
0,6731,787111942498508800
26623,7958,786963064373534720
0,2421,786729988674449408
18192,6097,786709082849828864
10564,2537,786664955043049472
9434,3117,786595970293370880
10863,3483,786363235746385920
7959,2820,786286427768250368
15204,4708,786233965241827333
1422,154,786051337297522688
0,6982,786036967502913536
11363,3167,785927819176054784
6684,1803,785872687017132033
